City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
164,Balykshi,KZ,2021-04-25 14:09:05,47.0667,51.8667,64.4,52,40,13.42,scattered clouds
165,Yarada,IN,2021-04-25 14:09:05,17.65,83.2667,86.0,74,20,4.61,haze
166,Gimli,CA,2021-04-25 14:09:05,50.6336,-96.9907,30.2,74,98,8.05,overcast clouds
167,De Aar,ZA,2021-04-25 14:09:06,-30.6497,24.0123,78.48,16,40,5.79,scattered clouds
168,Sao Filipe,CV,2021-04-25 14:09:06,14.8961,-24.4956,72.93,73,85,10.6,overcast clouds
169,Georgetown,MY,2021-04-25 14:07:26,5.4112,100.3354,84.2,84,20,5.01,few clouds
170,Lata,PT,2021-04-25 14:09:07,40.1629,-8.3327,73.99,54,61,6.98,broken clouds
171,Grand Gaube,MU,2021-04-25 14:09:07,-20.0064,57.6608,77.0,82,100,10.0,light rain
172,Takoradi,GH,2021-04-25 14:09:07,4.8845,-1.7554,86.25,66,83,11.36,broken clouds
173,Kemijarvi,FI,2021-04-25 14:09:08,66.7131,27.4306,34.02,93,100,15.17,light snow
174,Dimona,IL,2021-04-25 14:09:08,31.0667,35.0333,84.0,38,0,1.99,clear sky
175,Mezen,RU,2021-04-25 14:09:09,65.8522,44.24,45.12,82,100,6.58,overcast clouds
176,Puerto Ayora,EC,2021-04-25 14:09:09,-0.7393,-90.3518,78.8,83,0,11.5,clear sky
177,Mackay,AU,2021-04-25 14:09:09,-21.15,149.2,75.2,73,90,12.66,overcast clouds
178,Kodiak,US,2021-04-25 14:09:10,57.79,-152.4072,39.2,81,90,10.36,overcast clouds
179,San Patricio,US,2021-04-25 14:09:10,28.017,-97.5169,73.4,68,1,6.91,clear sky
180,Mwense,ZM,2021-04-25 14:09:11,-10.3845,28.698,82.09,57,100,2.59,overcast clouds
181,Puerto Escondido,MX,2021-04-25 14:09:12,15.85,-97.0667,82.4,83,40,0.65,scattered clouds
